TIC,waiting_time_type,t_prev_btjd,t_curr_btjd,exposure_days,z_global
272349442,interevent,2323.221872054569,2324.2440774742167,1.0222054196478894,0.15294086843649188
272349442,interevent,2324.2440774742167,2325.203782987633,0.9597055134163384,0.14358972457389588
272349442,interevent,2325.203782987633,2325.4079459801915,0.2041629925583947,0.030546566066172575
272349442,interevent,2325.4079459801915,2326.178765055931,0.7708190757393822,0.11532881413562024
272349442,interevent,2326.178765055931,2326.5148697574527,0.3361047015218901,0.05028749011529651
272349442,interevent,2326.5148697574527,2327.1065248515897,0.5916550941369678,0.08852256324697627
272349442,interevent,2327.1065248515897,2327.234300081077,0.1277752294872698,0.019117541530142324
272349442,interevent,2327.234300081077,2328.110671014492,0.8763709334148189,0.13112132752644826
272349442,interevent,2328.110671014492,2328.941208760279,0.8305377457872964,0.12426383353920199
272349442,interevent,2328.941208760279,2330.9203295553025,1.979120795023391,0.29611313666861816
272349442,interevent,2330.9203295553025,2331.9855801766034,1.0652506213009474,0.1593812280709676
272349442,interevent,2331.9855801766034,3014.702085488835,0.9297807755519898,0.13911242939551152
272349442,interevent,3014.702085488835,3014.750697497235,0.0486120083996866,0.007273257055955639
272349442,interevent,3014.750697497235,3015.2451510369547,0.4944535397198706,0.07397940992359772
272349442,interevent,3015.2451510369547,3017.557690960938,2.3125399239834223,0.3459988153750088
272349442,interevent,3017.557690960938,3019.9549488125776,2.3972578516395515,0.3586741868598631
272349442,interevent,3019.9549488125776,3025.849455430249,5.68385846935098,0.8504105277313898
272349442,interevent,3025.849455430249,3026.132790832557,0.2833354023082393,0.04239222533446523
272349442,interevent,3026.132790832557,3028.563362089845,2.2199231089675777,0.3321416240041937
272349442,interevent,3028.563362089845,3028.816141392896,0.2527793030508292,0.03782046679490504
272349442,interevent,3028.816141392896,3028.8647527922058,0.0486113993097205,0.007273165924812542
272349442,interevent,3028.8647527922058,3028.9689200702896,0.104167278083878,0.015585354632830667
272349442,interevent,3028.9689200702896,3029.014753669806,0.0458335995162997,0.0068575556134381176
272349442,interevent,3029.014753669806,3030.070314813512,1.0555611437061998,0.15793150271288148
272349442,interevent,3030.070314813512,3031.120319240736,1.0500044272239393,0.15710011498188606
272349442,interevent,3031.120319240736,3031.571709674696,0.451390433960114,0.06753637150306349
272349442,interevent,3031.571709674696,3032.500878843216,0.9291691685198202,0.13902092165269983
272349442,interevent,3032.500878843216,3034.711992254184,2.0004652626475945,0.29930666445864373
272349442,interevent,3034.711992254184,3035.891158052555,1.179165798370832,0.17642504898434744
272349442,interevent,3035.891158052555,3036.0106023277503,0.119444275195292,0.017871076426524798
272349442,interevent,3036.0106023277503,3036.2106020109395,0.1999996831891621,0.029923657853927376
272349442,interevent,3036.2106020109395,3041.6147454337665,5.193495274506404,0.7770431091799839
272349442,interevent,3041.6147454337665,3041.9314101667246,0.3166647329580883,0.04737891066797751
272349442,interevent,3041.9314101667246,3043.578621088455,1.6472109217302204,0.2464532705708731
272349442,interevent,3043.578621088455,3044.703611830301,1.124990741845977,0.1683194568663156
272349442,interevent,3044.703611830301,3047.068865911551,2.3652540812499865,0.35388582989898115
272349442,interevent,3047.068865911551,3047.698025319872,0.6291594083213568,0.09413390346414251
272349442,interevent,3047.698025319872,3047.725802767866,0.0277774479936852,0.004156020832453699
272349442,interevent,3047.725802767866,3049.114674189224,1.1782232730374744,0.17628402973299506
272349442,interevent,3049.114674189224,3049.207728505593,0.0930543163690345,0.013922649678522062
272349442,interevent,3049.207728505593,3049.3243936063527,0.1166651007597465,0.01745526044322152
272349442,interevent,3049.3243936063527,3056.329832676091,6.792476107051243,1.0162802648849012
272349442,interevent,3056.329832676091,3058.799227810611,2.4693951345198,0.36946726081377973
272349442,interevent,3058.799227810611,3063.244957831745,4.235081872813225,0.6336467084578878
272349442,interevent,3063.244957831745,3064.197711110949,0.9527532792039892,0.14254954153673607
272349442,interevent,3064.197711110949,3067.058743821862,2.8610327109131504,0.42806349782707426
272407484,initial,1596.7713100183755,1605.5246260159058,8.753315997530308,1.309658239556651
272456799,initial,1596.7713100183755,1602.0843279597489,5.313017941373346,0.7949259144528931
272456799,interevent,1602.0843279597489,1603.6204861718345,1.5361582120856383,0.2298377278151729
272456799,interevent,1603.6204861718345,1605.9247181704573,2.304231998622754,0.3447557958261555
272456799,interevent,1605.9247181704573,1617.856831898304,10.827947061335408,1.6200614818843733
272456799,interevent,1617.856831898304,1622.6110146432088,4.754182744904711,0.7113138159274996
272456799,interevent,1622.6110146432088,1623.3874024871648,0.7763878439559448,0.11616200502934099
272456799,interevent,2336.55081212875,2340.124499146556,3.573687017806151,0.5346897849668606
272456799,interevent,2340.124499146556,2358.994008925036,17.904232000960747,2.6788048060424106
272550631,initial,1468.2713678642176,1470.1834832763643,1.9121154121467043,0.28608789003021734
272550631,interevent,1470.1834832763643,1546.3752510499437,21.92095757321249,3.279781366607758
