,TIC,T_peak,T_start,T_end,Amplitude,ED,Primary_or_Secondary,Num_Points,Num_Abv_Threshold,Amp_Sigma
173,100481123.0,1460.6726425724585,1460.6726425724585,1460.6823648515244,0.08391695817845912,27.468332957760875,secondary,1,1,21.789681169065965
174,100481123.0,1463.3573731693673,1463.3545953913135,1463.3684842815808,0.019895010947062586,15.188268792477274,primary,10,7,5.16589202947121
175,67829849.0,2501.916368444723,2501.912201515397,2501.9399810448513,0.03225533856634821,43.17133865832786,primary,20,14,6.994213999764252
176,148772375.0,1605.6772836368236,1605.6731168434058,1605.6953397416346,0.011070848930378574,13.845087405520312,primary,16,6,4.303593483386371
177,385509305.0,2478.7952390762903,2478.793850068805,2478.8035731202717,0.2531674424055337,110.18666871672369,primary,7,3,6.532787008598522
178,14155535.0,2454.2650236545796,2454.235854178818,2454.2844699714055,0.7478200154415626,1774.3143646745978,primary,35,22,5.805552644701452
179,146559012.0,2177.156193110685,2177.156193110685,2177.158970927277,0.013974894830994566,1.5330771075246012,primary,2,3,3.662806967002436
180,146559012.0,2178.4909323356424,2178.4909323356424,2178.5020435743045,0.02970418014758458,12.033872968418526,primary,8,5,7.785438052267984
181,146559012.0,2179.7687233113675,2179.7673344100563,2179.7867790326027,0.07429234980101285,42.702929479573285,primary,14,10,19.471955942209103
182,146559012.0,2181.0729004285163,2181.0659559363967,2181.0756782250864,0.01895411107705902,9.324309302599385,primary,7,5,4.967854924561816
183,146559012.0,2183.7340233940754,2183.715967801827,2183.759023443984,0.026367142687896417,44.036765724636,primary,31,14,6.910803630734807
184,146559012.0,2184.06596840788,2184.0604128445457,2184.0729128618163,0.031052181839392512,20.917440905942417,primary,7,5,8.138748044793614
185,146559012.0,2184.9298578219486,2184.9298578219486,2184.953468928637,0.11557050582589112,70.74541316786824,primary,17,16,30.290922331681212
186,146559012.0,2185.2576354528887,2185.2548576772742,2185.264579892388,0.027716673989321094,12.903193756780986,primary,7,5,7.264514532521564
187,146559012.0,2190.522924923384,2190.513202714323,2190.577091513398,0.030155427353285136,78.7136685399393,primary,45,31,7.903709526140875
188,146559012.0,2193.5784671417277,2193.577078263234,2193.6131891124546,0.1279628124265504,158.18637025939364,primary,26,24,33.538934392097886
189,146559012.0,2198.2325807274015,2198.2325807274015,2198.236747328889,0.019595865991796746,3.7036719411229453,primary,3,3,5.136058292189028
190,146559012.0,2199.239508463955,2199.229786412055,2199.252008244904,0.037117126266528855,33.24535874924898,primary,16,12,9.72836435109512
191,28998540.0,2463.7777057071257,2463.7749276708037,2463.8068750880398,0.07660724442352218,88.9805074592426,primary,23,13,10.032280166344307
192,434572413.0,3044.65378735648,3044.651009507094,3044.6579541302112,0.007191396889970836,2.9590044190437963,primary,5,3,3.6776362056997054
193,434572413.0,3045.2704696898945,3045.2704696898945,3045.2746364610634,0.008447971029424739,1.751289309494949,primary,3,3,4.320240503738993
194,434572413.0,3049.2316730793173,3049.2302841603287,3049.2469511870336,0.0634289360209166,32.936402504711204,primary,12,10,32.437168351096126
195,434572413.0,3051.466441666891,3051.4372744177113,3051.4997756651196,0.008222590409348474,26.783201939746853,primary,45,13,4.204982238740232
196,434572413.0,3062.9332702673787,3062.9291035688525,3062.955492658745,0.059228377092012785,73.10794530044105,primary,19,20,30.289028311341696
197,452591471.0,1572.216544132607,1572.2137662992063,1572.2234887162267,0.01619919891473942,7.947676458747571,primary,7,3,4.27086364305553
198,452591471.0,1572.677664454276,1572.677664454276,1572.6818312037956,0.031505064591444754,6.528360896798733,primary,3,3,8.30620301929183
199,452591471.0,1580.1944641230148,1580.1944641230148,1580.204186485902,0.051809302286,15.618922756922462,primary,7,6,13.659346160878384
200,452591471.0,1580.627803584206,1580.6264146762371,1580.6361370324885,0.020365371567629964,8.191021220601012,primary,7,3,5.369260879090004
201,452591471.0,1587.120939749594,1587.1195508426695,1587.1501067957174,0.11084119635567213,110.33024680125348,primary,22,20,29.222904055921592
202,452591471.0,1587.2028852588664,1587.2014963519423,1587.204274165791,0.014524404058196216,1.7212860682949904,primary,2,3,3.8293096810334624
203,452591471.0,1587.5820568077124,1587.561223208028,1587.6265018194163,0.08947673502245257,293.91408070495135,primary,47,46,23.590236561574642
204,452591471.0,1587.9084498371776,1587.905672024493,1587.925116713759,0.029626834660789303,24.28015020047179,primary,14,10,7.811014092582852
205,452591471.0,1591.3973787544328,1591.395989851349,1591.4057121728165,0.025598645858059488,8.978376109726684,primary,7,3,6.74899582887176
